#threads,exec_time,speedup
1S,0.093091,1
1,0.074238,1.253953
2,0.042482,2.191304
3,0.035218,2.643279
4,0.022378,4.159933
5,0.022922,4.061207
6,0.028622,3.252428
7,0.022346,4.165890
8,0.031113,2.992029
