#threads,exec_time,speedup
1S,6.377704,1
1,6.277687,1.015932
2,3.506899,1.818616
3,2.516212,2.534644
4,2.061483,3.093745
5,2.154331,2.960410
6,2.407611,2.648976
7,2.387394,2.671408
8,2.495676,2.555501
