#threads,exec_time,speedup
1S,0.046293,1
1,0.038173,1.212715
2,0.019274,2.401836
3,0.012675,3.652307
4,0.008855,5.227893
5,0.010435,4.436320
6,0.012214,3.790158
7,0.008013,5.777236
8,0.012360,3.745388
