#threads,exec_time,speedup
1S,0.287725,1
1,0.271611,1.059327
2,0.156881,1.834033
3,0.121089,2.376144
4,0.068207,4.218408
5,0.107965,2.664984
6,0.092370,3.114918
7,0.110380,2.606676
8,0.112942,2.547546
