#threads,exec_time,speedup
1S,0.822617,1
1,0.793553,1.036625
2,0.448382,1.834634
3,0.322999,2.546809
4,0.242266,3.395511
5,0.250089,3.289297
6,0.267069,3.080166
7,0.286891,2.867350
8,0.288864,2.847765
