#threads,exec_time,speedup
1S,0.026467,1
1,0.023843,1.110053
2,0.012521,2.113808
3,0.008655,3.058001
4,0.006649,3.980598
5,0.006799,3.892778
6,0.011207,2.361648
7,0.007564,3.499074
8,0.009062,2.920657
