#threads,exec_time,speedup
1S,0.497953,1
1,0.487522,1.021395
2,0.295252,1.686535
3,0.200207,2.487190
4,0.150183,3.315641
5,0.162539,3.063590
6,0.192232,2.590375
7,0.185066,2.690677
8,0.195857,2.542431
