#threads,exec_time,speedup
1S,0.070490,1
1,0.062072,1.135616
2,0.030469,2.313498
3,0.019522,3.610798
4,0.014080,5.006392
5,0.015517,4.542759
6,0.016596,4.247409
7,0.023931,2.945551
8,0.013352,5.279358
