#threads,exec_time,speedup
1S,0.030594,1
1,0.026259,1.165086
2,0.015568,1.965184
3,0.012400,2.467258
4,0.008556,3.575736
5,0.009078,3.370125
6,0.007591,4.030299
7,0.012705,2.408028
8,0.008032,3.809013
